"AXX","AYY","AZZ","ACC_TOTAL"
"-730","643","26","973.1520949985156"
"-703","662","16","965.7686058264682"
"-666","671","3","945.4131372051057"
"-663","675","19","946.3376775760331"
"-699","756","11","1029.688302351736"
"-696","838","6","1089.355772922694"
"-696","950","18","1177.8115299146973"
"-736","957","18","1207.4224612785702"
"-984","1081","-57","1462.8964419944427"
"-953","1190","-85","1526.9361479773802"
"-817","1176","-141","1438.869695281682"
"-642","1087","-58","1263.76303158464"
"-440","997","90","1093.4847964192277"
"-257","905","196","960.9838708323881"
"-55","851","228","882.7287239010635"
"124","783","259","833.9940047746147"
"229","758","261","833.7421663799906"
"340","727","262","844.2588465630669"
"418","719","260","871.3696115885612"
"433","701","255","862.5050724488523"
"484","674","183","849.7181885778367"
"538","664","197","877.0114024344267"
"497","602","229","813.5440983745134"
"421","624","247","792.2285023905666"
"159","771","228","819.5767200207678"
"-124","901","247","942.4362047374877"
"-392","966","231","1067.7925828549287"
"-510","1039","93","1161.1502917366038"
"-521","1029","-2","1153.3802495274488"
"-649","1011","10","1201.4249872547182"
"-914","997","157","1361.6365153740553"
"-1044","1139","36","1545.49441927171"
"-862","1144","-158","1441.0912531828094"
"-692","1007","-84","1224.7322156291962"
"-618","929","64","1117.6139762905616"
"-571","936","53","1097.7003234034323"
"-489","888","11","1013.7978102166131"
"-503","811","88","958.370492033222"
"-559","758","119","949.3187030707865"
"-622","721","104","957.883604620102"
"-567","789","78","974.7276542706686"
"-841","640","28","1057.196765034778"
"-767","723","14","1054.1413567449101"
"-692","793","37","1053.12962165158"
"-604","868","43","1058.3425721381523"
"-645","865","40","1079.7453403465097"
"-615","887","89","1083.012003626922"
"-555","939","102","1095.5135781906129"
"-507","1059","74","1176.437843661959"
"-464","1083","-28","1178.5452897534317"
"-200","1378","48","1393.2652295955713"
"42","1705","476","1770.6961907679138"
"116","1868","613","1969.42859733477"
"177","1897","710","2033.2333855216916"
"157","1834","726","1978.706900983569"
"112","1617","599","1728.0144675320284"
"98","1478","497","1562.4010368660154"
"49","1221","371","1277.0602961489328"
"-37","952","276","991.8916271448207"
"-99","707","202","741.9258723080089"
"-175","495","132","541.363094420002"
"-250","355","67","439.3335862417077"
"-321","241","37","403.1017241342438"
"-444","142","15","466.39575469766015"
"-553","101","-63","565.6668630916964"
"-568","145","-131","600.6746207390487"
"-1077","53","-68","1080.4452785773096"
"-278","1047","22","1083.5021919682488"
"-714","1252","57","1442.4108291329485"
"-700","1170","-33","1363.81413689696"
"-766","1274","84","1488.9217575144773"
"-741","1234","16","1439.4766410053342"
"-715","1078","-84","1296.288933841526"
"-715","1074","-93","1293.580302880343"
"-705","1074","-93","1288.07996646171"
"-745","1136","-44","1359.2119040090843"
"-744","1137","16","1358.882261272109"
"-719","1113","12","1325.093958932724"
"-729","1120","11","1336.3988925466826"
"-725","1143","-16","1353.6358446790628"
"-764","1197","-79","1422.2327516971334"
"-874","1209","-102","1495.3130107104666"
"-989","1210","-80","1564.8070168554332"
"-1120","1226","-43","1661.1216090340888"
"-1321","1221","16","1798.9269023503984"
"-996","1109","237","1509.3263397953406"
"-471","1278","344","1404.7992739178078"
"-306","965","261","1045.4577944613545"
"-376","559","243","716.1745597268867"
"-522","72","22","527.4011755769985"
"-491","-172","-68","524.679902416702"
"-442","-233","-25","500.27792275894006"
"-388","-69","12","394.2702119105627"
"-312","149","53","349.79136638859455"
"-176","454","64","491.10894921595553"
"-36","797","218","827.0604572822956"
"-73","1178","389","1242.7123560985463"
"5","1573","578","1675.8394911207934"
"95","1807","595","1904.8094392878254"
"128","1924","603","2020.3388329683712"
"-275","1982","896","2192.4335793815967"
"-247","2011","143","2031.1521361040388"
"-731","751","-76","1050.779710500731"
"-662","917","-46","1131.9227005409866"
"-494","1005","106","1124.854212776038"
"-506","934","140","1071.4438856048412"
"-558","853","114","1025.6554002197813"
"-647","807","59","1036.0207526878987"
"-638","833","20","1049.444138580039"
"-613","803","47","1011.3293232177143"
"-633","829","73","1045.590263917946"
"-622","831","101","1042.9026800234046"
"-613","852","51","1050.844422357563"
"-655","875","67","1095.0520535572728"
"-604","867","67","1058.7700411326343"
"-590","860","121","1049.924282984254"
"-583","862","90","1044.525251011195"
"-570","873","42","1043.4524426153787"
"-581","802","47","991.4504526197968"
"-583","792","42","984.335816680466"
"-595","773","22","975.7243463191845"
"-601","766","13","973.7176182035529"
"-604","766","8","975.5183237643463"
"-645","740","21","981.8686266502256"
"-645","758","22","995.5264938714589"
"-614","799","7","1007.6934057539526"
"-591","835","13","1023.0713562601584"
"-570","858","5","1030.0917434869575"
"-642","860","13","1073.2814169638827"
"-788","912","52","1206.3962864664331"
"-791","993","56","1270.7737800253828"
"-653","1052","-10","1238.229784813788"
"-465","1028","-20","1128.4542525064983"
"-310","986","57","1035.154577828838"
"-246","912","151","956.5882081648299"
"-176","838","237","888.4756608934204"
"-99","789","292","847.1044799787096"
"-34","770","301","827.4400280382863"
"-17","773","266","817.6637450688394"
"-47","836","234","869.4026685029211"
"-157","895","193","928.9364886793929"
"-157","895","193","928.9364886793929"
"-207","939","125","969.6365298399189"
"-225","959","74","987.8167846316442"
"-326","945","74","1002.3856543267167"
"-544","920","164","1081.3103162367406"
"-711","918","217","1181.2425661141745"
"-653","924","112","1136.982409714416"
"-582","890","6","1063.4190143118562"
"-587","849","26","1032.4950363076812"
"-575","814","66","998.7877652434476"
"-580","839","-5","1019.9735290682793"
"-599","817","-39","1013.8101400163642"
"-637","781","0","1007.834311779471"
"-647","720","71","970.5926024857185"
"-645","719","69","968.3733784031859"
"-660","722","38","978.9422863478725"
"-659","736","48","989.0808864799683"
"-639","761","62","995.6334666934414"
"-620","745","44","970.2375997661603"
"-602","739","66","955.4480624293504"
"-609","784","43","993.6729844370329"
"-679","834","19","1075.6198213123446"
"-694","858","46","1104.4980760508367"
"-655","872","78","1093.3860251530564"
"-623","917","-27","1108.9395835662103"
"-634","983","-5","1169.730738247055"
"-565","973","-28","1125.494557961077"
"-531","985","-34","1119.5275789367586"
"-338","1088","-53","1140.5248791674824"
"-127","1344","188","1363.014673435323"
"-82","1506","334","1544.7705331213435"
"-22","1575","468","1643.208142628316"
"8","1604","560","1698.9643904449558"
"4","1564","566","1663.2702726857112"
"-2","1439","495","1521.758850803898"
"42","1332","489","1419.5453497511096"
