"AXX","AYY","AZZ","ACC_TOTAL"
"521","664","299","895.3982354237694"
"532","676","321","918.1726417183208"
"501","672","361","912.6368390548346"
"446","641","369","863.6886012909977"
"353","631","303","783.9508913190928"
"212","759","257","828.8992701167012"
"-29","873","218","900.2744026128922"
"-290","930","190","992.5220400575496"
"-513","1022","68","1145.5465944255607"
"-608","1060","-40","1222.6463102631112"
"-544","998","-42","1137.411095426803"
"-508","928","42","1058.778541527925"
"-594","892","144","1081.3121658429632"
"-779","942","173","1234.5582205793294"
"-863","914","-121","1262.8562863604077"
"-792","919","-23","1213.405950207926"
"-644","874","145","1095.279416404782"
"-542","876","138","1039.319007812327"
"-536","828","127","994.4893161819286"
"-561","805","72","983.8343356480298"
"-563","801","75","981.9343155221738"
"-641","763","114","1003.018444496411"
"-651","754","73","998.8223065190324"
"-684","714","55","990.2913712640336"
"-813","561","104","993.2300841194854"
"-953","497","62","1076.597417793671"
"-860","565","73","1031.5784022554951"
"-827","615","73","1033.1906890792231"
"-756","668","71","1011.3362447771759"
"-720","734","52","1029.4950218432336"
"-662","786","20","1027.8326712067485"
"-726","770","20","1058.478152821304"
"-723","810","-4","1085.7462871223645"
"-626","946","-4","1134.3755991733956"
"-554","1099","-52","1231.8364339472996"
"-389","1245","0","1304.3565463476618"
"-166","1571","387","1626.4581150463114"
"-8","1759","512","1832.0177400887799"
"106","1774","610","1878.9390623434278"
"161","1682","608","1795.7474766792795"
"123","1505","566","1612.609686191919"
"142","1378","513","1477.2328861760423"
"122","1220","425","1297.655193030876"
"67","1017","324","1069.4643519070657"
"10","827","242","861.7383593643723"
"-46","674","200","704.5509207999092"
"-99","552","187","591.1632600221363"
"-160","461","130","504.99603958843085"
"-246","371","55","448.5331648830441"
"-369","276","-33","461.980519069798"
"-510","134","-112","539.0732788777422"
"-146","428","-153","477.398156678469"
"-832","216","-127","868.9125387517435"
"-112","1128","167","1145.782265528665"
"-766","1264","49","1478.8012036781686"
"-810","1413","-67","1630.0791391831256"
"-925","1223","95","1536.3524986148198"
"-885","1078","157","1403.5519228015755"
"-771","1027","-17","1284.312656637783"
"-673","949","-20","1163.5849775585796"
"-673","949","-20","1163.5849775585796"
"-709","982","69","1213.1636328212282"
"-672","1029","75","1231.279821973868"
"-611","1016","41","1186.27905654614"
"-624","988","37","1169.140282429786"
"-599","1003","34","1168.745481274687"
"-593","1015","17","1175.6542859191218"
"-590","1022","3","1180.0817768273519"
"-586","1028","-15","1183.3870879809363"
"-614","1020","-19","1190.6960149425208"
"-677","1017","0","1221.727465517576"
"-772","1022","-14","1280.8840696956145"
"-907","1064","-27","1398.382637191981"
"-1079","1103","-51","1543.842932425446"
"-1293","1143","6","1725.7850387577244"
"-1136","1328","-72","1749.0751842044983"
"-867","1280","274","1570.0843926362684"
"-604","1357","358","1527.8838306625278"
"-421","630","212","786.8195472914994"
"-586","-50","11","588.2320970501355"
"-561","-507","-142","769.3724715636764"
"-538","-563","-115","787.1708836078733"
"-497","-384","-74","632.408886718079"
"-506","-92","-43","516.0901084113123"
"-467","359","-22","589.4522881455292"
"-344","903","156","978.8161216490051"
"-186","1471","395","1534.42562543774"
"-185","1756","481","1830.0606547325146"
"67","1898","626","1999.6922263188403"
"-80","1969","1043","2229.621044034165"
"-269","2005","344","2052.004385960225"
"-455","818","53","937.52759959374"
"-659","812","93","1049.8923754366444"
"-637","942","150","1147.010462027265"
"-642","794","180","1036.8220676663861"
"-667","763","128","1021.4900880576375"
"-664","790","52","1033.2956982393762"
"-722","827","-11","1097.877042295721"
"-776","738","71","1073.247874444669"
"-726","750","102","1048.7993135009194"
"-677","750","99","1015.1994877855287"
"-653","798","58","1032.7521483879857"
"-614","795","50","1005.7440032135414"
"-578","804","55","991.7282894018906"
"-578","792","55","982.024948766578"
"-596","786","43","987.3504950117765"
"-614","767","41","983.3442937242276"
"-643","777","37","1009.2308952861084"
"-636","794","59","1019.0255148915556"
"-617","796","75","1009.9158380776094"
"-583","808","86","1000.0744972250817"
"-582","847","57","1029.2628430095006"
"-656","897","41","1112.036869892361"
"-759","967","30","1229.6625553378456"
"-804","1036","-35","1311.844884123119"
"-797","1047","-55","1316.9825359510278"
"-626","1022","19","1198.6329713469424"
"-388","967","114","1048.1550457828268"
"-151","890","183","921.0808867846515"
"69","795","258","838.6596449096618"
"210","708","334","810.5060147833574"
"260","668","417","829.2846314746222"
"192","709","433","852.6628876642867"
"84","793","356","873.2931924617299"
"-48","857","236","890.1960458236152"
"-192","891","143","922.6017559055477"
"-271","929","76","970.6997476047884"
"-457","960","60","1064.9173676863384"
"-457","960","60","1064.9173676863384"
"-661","948","136","1163.6670486011021"
"-746","905","165","1184.3842281962386"
"-694","866","90","1113.4145678946365"
"-628","873","-10","1075.459436706006"
"-635","842","-15","1054.7103867887147"
"-672","833","35","1070.8398573082718"
"-657","790","21","1027.7110488848507"
"-625","782","9","1001.1143790796334"
"-626","752","38","979.1955882253556"
"-649","716","96","971.1194571215223"
"-674","707","110","982.9674460530216"
"-831","590","109","1024.9595113954501"
"-853","595","90","1043.9032522221587"
"-853","656","59","1077.694761980404"
"-815","606","52","1016.939034554186"
"-804","628","72","1022.7335918996696"
"-792","660","60","1032.6974387496077"
"-720","749","73","1041.5037205886497"
"-707","748","46","1030.2761765662642"
"-692","788","4","1048.7249401058411"
"-739","805","-24","1093.0333938174076"
"-682","881","0","1114.1297051959434"
"-610","923","-24","1106.6187238611137"
"-613","914","-27","1100.8605724613813"
"-461","1104","31","1196.7865306728681"
"-166","1523","290","1559.2257694124992"
"7","1685","449","1743.8104828220296"
"88","1741","542","1825.5380028912025"
"144","1670","537","1760.115053057612"
"102","1501","421","1562.2567010578"
"230","1480","351","1538.343589709399"
"80","1109","317","1156.1877010243622"
"43","957","253","990.8112837468092"
"-29","797","225","828.658554532565"
"-64","666","198","697.750671801898"
"-116","572","169","607.6191241229986"
"-154","513","176","563.7916281748071"
"-221","494","152","562.1218729065789"
"-305","476","108","575.5562526808305"
"-412","439","44","603.6563591978469"
"-444","452","-66","637.0211927400846"
"-738","330","-83","812.6702898469957"
"-890","255","-176","942.3911077678948"
"-568","1148","236","1302.3916461648546"
"-777","1060","66","1315.9350287913153"
"-945","1179","56","1512.0191797725317"
"-972","1083","144","1462.3299901185094"
"-795","988","38","1268.7052455160733"
"-645","913","-49","1118.9258241724515"
"-612","944","-77","1127.6564193051001"
"-691","1028","-33","1239.0940238738947"
"-735","1027","-38","1263.4864463064098"
"-778","1035","-38","1295.3582516045512"
"-821","1044","-55","1329.2862746602027"
"-896","1064","-67","1392.6237826491404"
"-1014","1132","-61","1520.9671265349557"
"-1094","1099","-68","1552.1794355035115"
"-1145","1118","35","1600.6792308267138"
"-1065","1211","-2","1612.6840980179595"
"-733","1222","172","1435.324701940296"
"-468","1257","276","1369.397312689053"
"-394","618","127","743.8339868545938"
"-445","240","25","506.2114182829147"
"-395","-4","-80","403.0397002777766"
"-395","-4","-48","397.92587249386037"
"-326","-43","-48","332.3085915229999"
"-289","-9","3","289.1556674180881"
"-274","107","35","296.2262648719725"
"-228","301","53","381.3056516759226"
"-131","565","94","587.5559547821807"
"-10","844","201","867.6618004729723"
"89","1207","330","1254.4600432058407"
"35","1480","449","1547.0054944957371"
"106","1742","521","1821.3294594883157"
"-22","1781","544","1862.358987950497"
"-36","1758","460","1817.5422966192561"
"-192","1892","893","2100.946691375105"
"-671","1579","-30","1715.9201613128741"
"-693","1077","38","1281.2579755849326"
"-604","928","11","1107.303481435871"
"-577","901","64","1071.833009381592"
"-626","840","98","1052.178692048076"
"-601","868","102","1060.6738424228251"
"-617","876","54","1072.8378255822265"
"-609","879","64","1071.2693405488649"
"-573","893","70","1063.333437826536"
"-540","869","103","1028.2849799544872"
"-576","798","114","990.745174098769"
"-609","775","98","990.5099696620928"
"-627","811","66","1027.2322035450406"
"-614","798","64","1008.9083209092886"
"-621","765","61","987.2117300761778"
"-642","731","61","974.8056216497728"
"-668","713","65","979.1925244812687"
"-712","714","28","1008.7239463797813"
"-727","723","-3","1025.3131229044131"
"-728","738","9","1036.6817255069175"
"-697","796","28","1058.3992630382922"
"-674","831","-9","1070.0084111818935"
"-712","867","-17","1122.0169339185572"
"-833","970","-60","1279.9957031177878"
"-1067","1052","-139","1504.8302229819815"
"-1113","1097","-89","1565.2792083203558"
"-975","1014","-63","1408.1157622866097"
"-702","938","36","1172.1535735559569"
"-326","884","153","954.5370605691536"
"-11","799","214","827.2351539918985"
"293","675","245","775.563665987519"
"542","616","289","869.908615890198"
"680","579","328","951.433129547211"
"754","587","340","1014.2410955980831"
"731","583","372","1006.2971728073173"
"640","608","398","968.3325874925412"
"467","548","350","800.5579304460109"
"255","741","292","836.2834447721657"
"-172","1044","118","1064.6332701921351"
