"AXX","AYY","AZZ","ACC_TOTAL"
"-1431","1191","-9","1861.8063809107541"
"-1168","1373","25","1802.7695360195103"
"-663","1396","216","1560.4617906248138"
"-347","1023","105","1085.3400388818243"
"-319","514","31","605.7375669380264"
"-327","-11","-77","336.12348921192637"
"-258","-249","-76","366.525578916397"
"-249","-326","-80","417.94377612305703"
"-253","-176","-95","322.505813901083"
"-279","38","-79","292.44828602677774"
"-271","342","24","437.0137297614344"
"-224","778","252","847.9174488120881"
"-307","1264","556","1414.5957019586904"
"-429","1652","910","1934.2298208847883"
"-552","1846","1336","2344.6355793598286"
"-484","1690","1606","2381.090506469672"
"-431","1193","1754","2164.6075856838347"
"-799","797","779","1371.2953729959129"
"-775","867","285","1197.3048901595616"
"-640","871","161","1092.777195955333"
"-518","892","158","1043.5286292191508"
"-500","839","95","981.298119839226"
"-601","807","77","1009.1476601568276"
"-680","792","-23","1044.123077036419"
"-700","762","-14","1034.8139929475249"
"-670","765","13","1017.0024582074519"
"-656","773","37","1014.5117052060069"
"-658","768","45","1012.3304796359735"
"-656","767","39","1010.0227720205124"
"-685","784","18","1041.2516506589557"
"-718","718","50","1016.6356279414961"
"-681","727","28","996.5309829603895"
"-675","739","33","1001.4164967684525"
"-686","729","51","1002.3163173369971"
"-720","712","67","1014.8068781792919"
"-744","680","67","1010.1608782763268"
"-754","653","46","998.5194039176204"
"-763","649","32","1002.194591883233"
"-770","645","33","1004.9945273482837"
"-780","651","32","1016.4767582192915"
"-807","640","7","1029.9990291257561"
"-919","676","-6","1140.8650226911157"
"-1044","818","-14","1326.3694809516692"
"-1419","931","-125","1701.7482187444768"
"-1294","978","-162","1630.0809795835298"
"-1051","1015","-192","1473.6654980014969"
"-753","890","-68","1167.7897927281263"
"-472","796","53","926.9352728211393"
"-218","744","176","795.0069182088921"
"-49","702","282","758.1088312373099"
"82","623","305","698.4826411586762"
"82","623","305","698.4826411586762"
"161","573","335","682.9897510211995"
"187","559","336","678.4880249495933"
"167","571","308","669.9208908520468"
"127","614","289","690.3955388036629"
"60","738","218","771.8600909491305"
"-97","772","131","789.020912270391"
"-399","832","93","927.4017468174189"
"-930","832","146","1256.359821070381"
"-1230","797","296","1495.2340953843984"
"-1314","785","282","1556.3884476569467"
"-1055","859","0","1360.4800623309407"
"-862","854","-135","1220.8951633944662"
"-871","773","-23","1164.7742270500323"
"-875","762","21","1160.4783496472478"
"-828","704","74","1089.3465931465523"
"-806","675","98","1055.8716778093824"
"-789","687","94","1050.3932596889606"
"-760","692","90","1031.7771077127074"
"-716","709","102","1012.7887242658263"
"-680","724","91","997.4251851642808"
"-688","743","87","1016.347381558097"
"-674","767","66","1023.1915754148878"
"-665","748","51","1002.1626614477312"
"-659","718","39","975.3594209315867"
"-658","722","35","977.4829921794036"
"-663","716","36","976.4839988448351"
"-721","728","40","1025.390169642756"
"-729","737","51","1037.887758864127"
"-724","747","26","1040.6060734014577"
"-709","799","31","1068.6641193564983"
"-707","834","50","1094.4884649917512"
"-685","887","65","1122.5947621470536"
"-626","888","226","1109.727894575963"
"-536","986","608","1276.3839547722307"
"-261","1429","1058","1797.088200395295"
"-126","1668","1350","2149.5580941207427"
"-152","1676","1187","2059.380732161977"
"-163","1554","998","1854.0466552921478"
"-202","1303","792","1538.1407607888168"
"-206","1067","614","1248.1670561267028"
"-201","810","456","951.0189272564453"
"-240","589","292","699.8464117218863"
"-256","369","193","488.82103064414076"
"-258","289","125","407.0749316772036"
"-291","234","113","390.1358737670762"
"-379","244","92","460.04456305884105"
"-487","279","57","564.1444850390723"
"-448","422","181","641.5208492325094"
"-753","308","-30","814.1087150989111"
"-967","359","-209","1052.449998812295"
"-639","1200","47","1360.3418687962228"
"-734","1093","-170","1327.5183614549367"
"-858","1124","-118","1418.9658205890655"
"-838","1096","-60","1380.9634318112844"
"-746","1058","-82","1297.1522655417134"
"-711","941","22","1179.6126482875638"
"-682","912","61","1140.4336894357339"
"-668","907","63","1128.202995918731"
"-661","909","45","1124.8230972024"
"-682","912","76","1141.3343068531674"
"-699","889","114","1136.6257079619481"
"-717","862","110","1126.602414341457"
"-741","876","49","1148.4154300600458"
"-759","902","-17","1178.9715857475107"
"-828","926","-42","1242.9094898664182"
"-940","973","-53","1353.9342672375199"
"-1100","1071","-78","1537.2459139643208"
"-1097","1071","-78","1535.1006481661063"
"-1268","1159","-167","1725.9762454912293"
"-1393","1134","0","1796.219641357927"
"-1302","1364","140","1890.8463713374495"
"-695","1300","340","1512.8202140373455"
"-479","1272","313","1394.7738167889445"
"-264","636","126","700.0485697435571"
"-282","199","-5","345.1811118818641"
"-213","-65","-72","234.04700382615454"
"-161","-161","-73","239.10457962991842"
"-151","-137","-67","214.61360627881913"
"-158","-26","-70","174.75697410976193"
"-192","129","-66","240.54313542481316"
"-189","395","25","438.60118558891287"
"-168","710","275","779.7108438389196"
"-210","1111","510","1240.3713153729411"
"-355","1490","799","1727.5780734890102"
"-503","1734","1161","2146.5521190970417"
"-106","1887","1326","2308.7401326264503"
"-447","1185","1683","2106.305533392532"
"-1124","771","835","1598.4498740967763"
"-1061","965","230","1452.5308946800408"
"-774","937","96","1219.123045471621"
"-549","867","120","1033.1940766380728"
"-431","844","54","949.2170457803632"
"-510","805","107","958.9442110988522"
"-665","783","61","1029.0942619604873"
"-735","754","14","1053.060776973485"
"-722","747","19","1039.064001878614"
"-677","769","7","1024.5677137212551"
"-654","783","14","1020.2945653094503"
"-644","779","-10","1010.7803915787049"
"-655","768","-1","1009.3809984341889"
"-676","744","9","1005.2825473467645"
"-679","726","19","994.2223091441873"
"-682","701","4","978.0291406701541"
"-683","720","6","992.4338768905463"
"-702","711","21","999.3828095379668"
"-699","698","31","988.3147271997924"
"-722","676","37","989.7620926263038"
"-745","670","29","1002.3801674015702"
"-749","649","20","991.2628309383945"
"-745","639","25","981.8202483143235"
"-752","639","21","987.049137581306"
"-769","641","24","1001.408008755672"
"-825","644","29","1046.9966571102316"
"-945","622","15","1131.430068541578"
"-1012","704","-26","1233.059609264694"
