"AXX","AYY","AZZ","ACC_TOTAL"
"684","-765","177","1041.350085225905"
"688","-756","176","1037.2347853788938"
"692","-757","168","1039.2963966068583"
"702","-754","172","1044.4634986441604"
"704","-748","171","1041.3265578097967"
"699","-750","168","1038.9056742553676"
"711","-733","161","1033.79446700009"
"730","-741","153","1051.3752897990328"
"705","-755","162","1045.6070007416745"
"681","-768","185","1042.9813037633992"
"670","-774","190","1041.189704136571"
"664","-782","189","1043.1399714324057"
"650","-798","190","1046.6154976876655"
"633","-804","199","1042.4519173563833"
"611","-812","212","1038.079476726132"
"595","-818","217","1034.5230785245924"
"588","-831","218","1041.071083067818"
"573","-856","236","1056.769132781612"
"578","-871","241","1072.7562630905493"
"606","-865","244","1083.9727856362447"
"609","-848","228","1068.6294961304409"
"603","-826","200","1042.0580598028116"
"603","-794","179","1012.9590317480762"
"611","-798","179","1020.8653192267823"
"633","-771","155","1009.53206982245"
"663","-769","130","1023.6356773774545"
"694","-758","134","1036.4149748049765"
"719","-761","145","1056.9328266261768"
"737","-742","176","1060.5229841922333"
"753","-720","199","1060.6648858145536"
"779","-690","199","1059.5008258609334"
"806","-643","175","1045.805909334997"
"820","-637","149","1048.985223918812"
"802","-652","147","1043.9909003434848"
"789","-667","159","1045.3186117160642"
"775","-687","167","1049.0390841146007"
"758","-700","176","1046.6804670003162"
"753","-710","168","1048.4908201791754"
"760","-681","163","1033.4069866224052"
"754","-703","152","1042.0311895524048"
"751","-701","141","1036.9585334043015"
"771","-701","128","1049.8695157018324"
"805","-720","128","1087.5702276175089"
"836","-782","131","1152.2070126500705"
"906","-872","69","1259.3573758072012"
"1140","-1308","142","1740.8698974937788"
"1333","-1435","-49","1959.2128521424108"
"1236","-1387","-172","1865.7569509451116"
"1011","-1141","-162","1533.0512059288822"
"625","-889","59","1088.3138334138732"
"231","-697","256","777.6284459817555"
"-51","-580","395","703.5808411263058"
"-263","-479","558","781.0083226189079"
"-396","-366","589","798.5568232755888"
"-489","-325","576","822.509574412359"
"-518","-376","505","815.3066907612128"
"-508","-433","438","798.3714674260347"
"-484","-553","340","809.7314369591933"
"-311","-558","258","688.9477483815446"
"-30","-793","62","795.9855526327095"
"702","-967","-51","1196.0326082511297"
"1063","-1144","243","1580.428422928416"
"1133","-1141","385","1653.4191845989933"
"909","-1488","434","1796.8809086859374"
"1224","-1396","-168","1864.1931230427817"
"848","-1148","119","1432.1902806540757"
"795","-810","117","1140.9706394119"
"754","-803","130","1109.1550838363407"
"795","-738","127","1092.1529196957722"
"771","-768","125","1095.394905958577"
"769","-715","163","1062.6170523758783"
"866","-570","128","1044.6243343901194"
"905","-510","109","1044.5123263992627"
"869","-564","147","1046.358447187196"
"817","-618","165","1037.6116807361027"
"786","-632","178","1024.1601437275324"
