"AXX","AYY","AZZ","ACC_TOTAL"
"-548","872","612","1198.0116860865758"
"-612","968","897","1454.7085618776016"
"-534","982","897","1433.209335721757"
"-725","901","901","1466.0242153525296"
"-781","838","555","1272.8825554622076"
"-843","733","30","1117.5142057262628"
"-777","736","-411","1146.4493011031932"
"-757","825","-482","1219.0151762796065"
"-787","849","-329","1203.499480681234"
"-782","837","-228","1167.9370702225356"
"-743","819","-249","1133.495037483623"
"-737","812","-267","1128.6283710770344"
"-760","806","-263","1138.5978218844439"
"-770","794","-266","1137.5816454215494"
"-786","781","-248","1135.4562959444982"
"-820","768","-164","1135.394204670783"
"-867","780","-50","1167.299875781712"
"-804","800","161","1145.5727824979083"
"-660","822","454","1147.780466814103"
"-485","975","681","1284.3718308963334"
"-347","1040","710","1306.1810747365773"
"-388","1155","511","1321.2456244014586"
"-422","871","411","1051.4970280509594"
"-386","763","322","913.7007168652108"
"-375","659","183","779.9967948652097"
"-359","646","51","740.8090172237377"
"-367","649","-107","753.2190916327069"
"-295","737","-289","844.8165481333803"
"-270","777","-392","911.2041483663252"
"-359","870","-484","1058.3180051383422"
"-379","1182","-765","1458.0775013695259"
"-501","1095","-744","1415.472359320379"
"-363","1510","-1392","2085.5534037756024"
"-888","1019","-702","1523.059092747225"
"-781","1033","-515","1393.6552658387225"
"-553","972","-131","1125.9458246292315"
"-573","911","212","1096.9020010921668"
"-592","809","214","1025.0565838040357"
"-664","741","56","996.5505506495895"
"-694","699","-5","985.0187815468291"
"-713","704","29","1002.4100957193119"
"-713","704","29","1002.4100957193119"
"-705","746","44","1027.3641029352739"
"-710","743","114","1033.9946808373822"
"-682","776","-2","1033.1040605863477"
"-662","751","19","1001.3021521998243"
"-683","785","51","1041.7845266656632"
"-680","769","33","1027.0589077555387"
"-676","757","19","1015.079307246483"
"-694","715","-2","996.4261136682438"
"-711","673","-16","979.135332831984"
"-701","677","-15","974.6563496945988"
"-697","691","-9","981.5146458408045"
"-677","704","-4","976.7092709706404"
"-663","725","-12","982.5161576279547"
"-650","733","-20","979.8923410252781"
"-629","750","-38","979.584095420092"
"-622","775","-46","994.7989746677466"
"-637","752","-67","987.8066612450029"
"-659","759","-67","1007.3981338080789"
"-653","808","-46","1039.8985527444493"
"-651","859","-45","1078.7525202751556"
"-724","886","-129","1151.439533801059"
"-657","933","-64","1142.9059453865834"
"-677","945","-130","1169.7238990462663"
"-682","971","-181","1200.302461882004"
"-595","978","-160","1155.9018124391016"
"-442","923","-103","1028.5436305767491"
"-249","833","-27","869.8384907556115"
"-115","797","53","806.9962825193187"
"-75","782","111","793.3914544536008"
"-87","786","126","800.7752493677611"
"-160","815","103","836.9193509532445"
"-218","835","71","865.9041517396714"
"-289","848","36","896.6164174272072"
"-358","853","22","925.3415585609456"
"-392","844","22","930.8512233434514"
"-428","832","2","935.6345440394983"
"-606","808","-16","1010.1267247231904"
"-793","837","-162","1164.328991307869"
"-867","841","-125","1214.32903284077"
"-776","808","-110","1125.673131952611"
"-700","757","-117","1037.6598672011942"
"-732","724","-50","1030.7764064044152"
"-727","716","-34","1020.9510272290244"
"-683","740","-32","1007.5281633780764"
"-664","744","-39","997.9744485707037"
"-688","710","-33","989.2082692739684"
"-694","702","-19","987.3201101972957"
"-676","717","-2","985.4283332642715"
"-660","737","15","989.4412564675075"
"-655","736","30","985.7083747234777"
"-611","762","13","976.7978296454185"
"-588","775","5","972.8278367727765"
"-611","725","-19","948.3179846443913"
"-727","655","37","979.2461386188868"
"-691","748","37","1018.9965652542701"
"-676","766","0","1021.6320276890306"
"-718","778","-29","1059.0793171429607"
"-760","815","-69","1116.506157618488"
"-773","880","-91","1174.8233909826617"
"-810","936","-140","1245.7110419354883"
"-684","983","-227","1218.8822748731725"
"-513","1105","-275","1248.9271395882147"
"-377","1167","-370","1280.983216127362"
"-399","1000","-318","1122.6419732042802"
"-258","1017","-277","1085.1645036583163"
"-178","1013","-380","1096.4729818832748"
"-178","1013","-380","1096.4729818832748"
"-217","915","-359","1006.5758789082918"
"-227","822","-333","915.4791095377327"
"-264","735","-283","830.6684055626529"
"-281","684","-222","772.0757734834062"
"-283","690","-170","764.9111059463054"
"-333","702","-101","783.5138799025834"
"-419","733","-33","844.9491108936679"
"-501","725","11","881.332513867496"
"-538","741","72","918.536335699356"
"-535","802","150","975.6684887808973"
"-523","945","413","1156.3403478215228"
"-541","1076","627","1357.7871703621302"
"-641","874","788","1340.0376860372248"
"-792","798","651","1299.180126079521"
"-812","809","577","1283.2591320540057"
"-745","754","212","1080.964846791976"
"-711","685","-333","1041.9380979693562"
"-775","796","-724","1326.0531663549543"
"-852","866","-494","1311.4480546327407"
"-827","840","-196","1194.966526727841"
"-765","798","-125","1112.4989887635854"
"-761","762","-179","1091.6986763754915"
"-756","773","-233","1106.0533441023538"
"-733","808","-242","1117.460066400585"
"-761","805","-259","1137.640980274533"
"-814","798","-292","1176.7174682140144"
"-839","802","-274","1192.5606902795346"
"-830","820","-201","1183.9345421094868"
"-788","844","-38","1155.3025577743692"
"-713","814","278","1117.2506433204683"
"-569","893","485","1164.6608948530898"
"-432","920","589","1174.710602659225"
"-228","1079","407","1175.5313692113878"
"-298","980","343","1080.2097018634854"
"-327","838","290","945.1312078224906"
"-306","785","241","876.3229998122838"
"-290","750","165","820.868442565555"
"-276","705","52","758.884049114224"
"-285","707","-59","764.56196609562"
"-313","731","-171","813.3701494399705"
"-316","747","-284","859.3724454507486"
"-323","776","-377","921.2133303421092"
