"AXX","AYY","AZZ","ACC_TOTAL"
"586","-847","130","1038.1257149305184"
"594","-849","130","1044.2877955812755"
"619","-865","131","1071.7028506073873"
"610","-845","131","1050.374219028628"
"628","-817","140","1039.9389405152592"
"633","-805","137","1033.1906890792231"
"638","-807","118","1035.4791161583125"
"634","-809","113","1034.024177667041"
"625","-809","109","1028.0987306674394"
"620","-807","89","1021.5527397055915"
"601","-817","69","1016.5879204476119"
"619","-851","65","1054.3182631444834"
"655","-858","58","1080.996299716146"
"733","-881","87","1149.355906584205"
"824","-964","113","1273.2010838826677"
"848","-1057","222","1373.1849838969256"
"776","-1193","36","1423.629516412188"
"509","-1097","-59","1210.7728936509934"
"384","-925","72","1004.1239963271469"
"145","-888","182","917.9831153131304"
"116","-797","181","825.4853118014881"
"24","-722","263","768.7841049345388"
"-22","-638","238","681.30169528631"
"-31","-564","196","597.8904581944756"
"104","-381","402","563.5432547728701"
"-72","-681","225","720.81204207477"
"118","-907","172","930.6755610845274"
"328","-913","68","972.510668321947"
"270","-928","-18","966.6478159081518"
"1100","-1128","-440","1635.8435132982618"
"549","-1131","-207","1274.131468883804"
"533","-971","27","1107.9977436800132"
"587","-913","151","1095.8736241008814"
"686","-833","217","1100.7152220261153"
"655","-824","187","1069.0977504419322"
"627","-844","121","1058.3506035336304"
"610","-860","32","1054.8573363256285"
"615","-841","39","1042.6058699240093"
"621","-811","65","1023.516975921748"
"644","-785","98","1020.0808791463547"
"681","-743","96","1012.4356769691593"
"709","-725","88","1017.8654135002329"
"731","-707","91","1021.0244855046327"
"728","-718","100","1027.3791899780724"
"723","-750","121","1048.746871270661"
"697","-764","128","1042.0599790798992"
"673","-753","266","1044.362963724777"
"725","-820","193","1111.4288101358538"
"736","-794","136","1091.159016825687"
"680","-840","122","1087.6047076029047"
"623","-916","100","1112.2881820823234"
"596","-1019","9","1180.5329305021526"
"738","-1031","23","1268.122233856027"
"883","-990","65","1328.161887723029"
"883","-990","65","1328.161887723029"
