"AXX","AYY","AZZ","ACC_TOTAL"
"-258","290","184","429.5579122772621"
"-327","311","153","476.5070828434767"
"-431","336","108","557.0646282075357"
"-723","408","42","831.2382329994211"
"-930","243","-139","971.2208811593787"
"-671","575","-157","897.5048746385727"
"-1293","1308","-307","1864.661363357969"
"-970","1327","-211","1657.2115133560953"
"-1052","1210","-217","1617.990420243581"
"-1004","1131","-32","1512.6800719253229"
"-852","1095","-55","1388.5078321709243"
"-842","953","14","1271.7582317406088"
"-787","911","85","1206.8616324997658"
"-751","914","140","1191.2166049883624"
"-693","903","139","1146.7253376462909"
"-636","924","104","1126.5380597210199"
"-604","931","81","1112.7164957885723"
"-557","942","49","1095.4515050881987"
"-522","953","32","1087.0680751452505"
"-514","940","49","1072.4723772666596"
"-523","914","72","1055.5136190499866"
"-563","917","70","1078.3125706398864"
"-640","966","43","1159.5710413769395"
"-726","1058","-38","1283.6993417463452"
"-852","1101","-116","1396.9828202236417"
"-998","1105","-142","1495.724907862405"
"-1127","1225","-163","1672.5199550379064"
"-1197","1287","-47","1758.234057229014"
"-1042","1225","110","1611.98294035638"
"-598","1465","101","1585.5692983909596"
"-415","1208","136","1284.5174191111619"
"-69","739","95","748.2693365359829"
"-127","523","59","541.4231247370212"
"-139","184","17","231.2271610343387"
"-129","92","38","162.93863875704866"
"-86","133","69","172.75994906227544"
"-53","155","102","192.9715004864708"
"-12","208","38","211.7829077144801"
"3","245","14","245.41801074900758"
"2","373","162","406.6657103813893"
"33","666","408","781.7346096982019"
"-38","999","607","1169.570006455364"
"-182","1216","804","1469.0799842078034"
"-343","1386","1027","1758.799022060224"
"400","1713","1517","2322.8555701980267"
"-373","1196","1529","1976.7109045077887"
"-769","792","915","1433.8235595776769"
"-832","1100","-178","1390.6502076367012"
"-692","898","-26","1133.9947089823656"
"-510","871","-61","1011.1686308425514"
"-453","847","-38","961.2814364170359"
"-556","789","135","974.6188998783063"
"-724","773","36","1059.717415163118"
"-742","736","-21","1045.323394935749"
"-740","724","29","1035.672245452199"
"-694","756","3","1026.2460718560633"
"-667","761","6","1011.9515798693137"
"-669","766","5","1017.0260566966807"
"-679","763","-2","1021.37848029024"
"-683","745","20","1010.8976209290435"
"-706","711","38","1002.696863463729"
"-707","691","47","989.7166261107267"
"-711","679","46","984.2144075352687"
"-728","677","61","996.0090361035888"
"-752","635","66","986.4507083478627"
"-765","607","52","977.9458062694476"
"-778","604","20","985.1395840184273"
"-788","601","25","991.3475677077137"
"-788","601","25","991.3475677077137"
"-815","612","25","1019.5067434794141"
"-860","626","9","1063.7466803708485"
"-1003","681","-35","1212.8458269706007"
"-1244","820","-89","1492.6007503682958"
"-1577","790","-162","1771.2348799636936"
"-1308","838","-201","1566.3680921162816"
"-923","767","-72","1202.2487263457592"
"-575","759","82","955.7353190083539"
"-269","716","171","783.7461323668525"
"-3","767","168","785.18914918636"
"79","650","275","710.187299238729"
"183","568","327","680.4718950845803"
"285","572","313","711.6024170841467"
"274","601","336","741.062075672477"
"203","657","325","760.5806992029183"
"120","695","288","761.81953243534"
"19","728","226","762.509672069804"
"-43","830","206","856.2622261900848"
"-619","789","210","1024.5886979661643"
"-1066","682","273","1294.6076625758092"
"-1553","563","555","1742.6425336252987"
"-1214","950","-65","1542.8937098841254"
"-867","984","-327","1351.6190291646533"
"-748","777","-45","1079.4711668219768"
"-756","872","-114","1159.7051349373253"
"-743","820","-8","1106.5771550145068"
"-764","718","78","1051.3343901918172"
"-782","679","90","1039.5503835793627"
"-766","679","88","1027.3952501350198"
"-706","724","80","1014.4022870636678"
"-707","705","73","1001.1008940161826"
"-706","707","56","1000.7102477740498"
"-703","697","24","990.249463519168"
"-693","710","1","992.144142753461"
"-677","698","-2","972.3872685303937"
"-678","702","-22","976.2028477729411"
"-686","700","-27","980.4718251943806"
"-718","669","-24","981.6623655819755"
"-747","666","-29","1001.2022772646894"
"-745","680","-25","1008.9846381387578"
"-735","690","-36","1008.7720257818413"
"-745","719","-35","1035.958976021734"
"-779","735","-37","1071.6505960433185"
"-848","768","56","1145.4536219332497"
"-798","916","-9","1214.8831219504204"
"-728","914","389","1231.5441526798786"
"-566","1234","1044","1712.614375742537"
"-249","1637","1398","2167.06575811626"
"-208","1773","1497","2329.764365767491"
"-265","1762","1244","2173.109523240833"
"-264","1559","1009","1875.702001918215"
"-288","1250","766","1494.0548852033517"
"-305","873","560","1081.08926550956"
"-283","545","382","723.2136613753919"
"-201","328","187","427.7312240180742"
"-177","170","104","266.54267950930483"
"-257","78","72","278.0593461835081"
"-381","79","29","390.18329026240986"
"-562","123","22","575.7230236841324"
"-384","411","30","563.2734682194787"
"-869","505","-132","1013.7110041821584"
"-737","811","-162","1107.7608045060992"
"-898","1426","-82","1687.1881934153048"
"-947","885","-175","1307.9216337380462"
"-928","1222","-270","1558.0012836965186"
"-896","1188","-93","1490.9087832593918"
"-784","1111","-124","1365.4131242960864"
"-775","1111","-124","1360.2654152774744"
"-655","1050","-119","1243.2562085105387"
"-630","1004","5","1185.3020712037924"
"-660","954","130","1167.3114408759986"
"-662","961","173","1179.7008095275683"
"-657","933","148","1150.670239469154"
"-652","923","111","1135.4972479050753"
"-639","933","76","1133.395782593177"
"-615","956","31","1137.1552224740474"
"-618","970","-5","1150.1517291209886"
"-669","993","-2","1197.336210093055"
"-757","1061","-26","1303.6280144274285"
"-889","1104","-43","1418.0923806296964"
"-1032","1097","-32","1506.471705675218"
"-1166","1225","-50","1691.9459211215942"
"-1201","1290","52","1763.2937928774093"
"-705","1452","194","1625.7198405629429"
"-390","1492","242","1561.002242150856"
"-192","1039","186","1072.8378255822265"
"-17","715","201","742.909819560894"
"-95","287","44","305.4995908344232"
"-137","70","-32","157.14006491025768"
"-101","18","-43","111.23848254988019"
"-98","54","-23","114.23221962301179"
"-100","116","-7","153.31340450201998"
"-83","236","-14","250.56136972805683"
