"AXX","AYY","AZZ","ACC_TOTAL"
"75","821","283","871.6392602447414"
"-209","959","155","993.6734876205563"
"-401","1012","52","1089.7930996294663"
"-485","997","22","1108.926507934588"
"-507","944","53","1072.843884262757"
"-596","913","86","1093.7005988843564"
"-717","904","146","1163.0223557610575"
"-764","880","133","1172.938617319764"
"-733","880","34","1145.7944841899005"
"-701","907","-81","1149.1784021639112"
"-691","848","-67","1095.9352170634904"
"-683","849","26","1089.938530376828"
"-645","821","46","1045.0751169174396"
"-619","792","21","1005.418320899316"
"-595","770","7","973.1258911363935"
"-595","731","73","945.3650088722345"
"-650","671","66","936.5345695701787"
"-707","673","30","976.5643859981789"
"-723","665","-5","982.3334464427036"
"-746","674","5","1005.3939526374724"
"-783","685","32","1040.8352415248055"
"-743","715","27","1031.505210844812"
"-723","725","19","1024.0678688446387"
"-692","737","-16","1011.0830826396019"
"-684","739","14","1007.0615671348004"
"-623","758","-4","981.177353998756"
"-648","799","1","1028.74000602679"
"-716","884","4","1137.5974683516133"
"-669","881","-38","1106.8721696745292"
"-638","915","-69","1117.600107372937"
"-638","1219","13","1375.9265968793538"
"-358","1225","13","1276.3063895475882"
"-48","1561","350","1600.4764915486887"
"98","1700","593","1803.123123915835"
"179","1678","711","1831.1870466994899"
"184","1572","698","1729.810394234004"
"82","1350","586","1473.9810039481513"
"9","1203","459","1287.622227207965"
"-22","1047","369","1110.339587693783"
"-51","902","266","941.7860691261046"
"-90","732","219","769.3406267707433"
"-141","613","181","654.5311298937584"
"-203","532","149","588.5864422495646"
"-279","499","120","584.1592248693844"
"-379","499","89","632.9004661082183"
"-479","502","45","695.3200701835091"
"-463","663","-49","810.1475174312392"
"-684","452","-59","821.9738438660928"
"-837","358","-148","922.29984278433"
"-769","784","305","1139.7552368820245"
"-973","1249","196","1595.351371955407"
"-871","1175","120","1467.5373930500034"
"-903","1046","108","1386.0696230709336"
"-852","975","126","1300.9246711474111"
"-692","954","-58","1179.9762709478525"
"-688","956","-57","1179.2069368859734"
"-738","941","26","1196.1609423484786"
"-742","958","56","1213.0391584775819"
"-705","977","17","1204.9244789612335"
"-684","989","-12","1202.5477121511644"
"-663","991","-2","1192.3313297905074"
"-646","990","7","1182.1442382382954"
"-628","989","9","1171.574154716636"
"-641","980","2","1171.0187872105212"
"-688","990","-11","1205.6388348091646"
"-783","1016","-29","1283.0378014696216"
"-968","1042","-48","1423.0572722135958"
"-1180","1002","-44","1548.6574831123892"
"-1126","1217","-88","1660.3340025428618"
"-1141","1204","70","1660.2400428853655"
"-719","1184","278","1412.8343851987747"
"-617","961","165","1153.8782431435302"
"-416","551","104","698.1926668191238"
"-514","72","-2","519.022157523164"
"-439","-101","-25","451.1618334921517"
"-407","-169","3","440.70284773302745"
"-375","-61","27","380.88712238667244"
"-368","109","36","385.48800240733823"
"-300","498","24","581.8762755088061"
"-168","878","171","910.1368029038272"
"-70","1274","342","1320.9617708321464"
"-113","1575","488","1652.7365186260029"
"-41","1779","555","1864.01368020731"
"60","1899","585","1987.97032171006"
"-131","1970","862","2154.322399270824"
"-734","1942","28","2076.271658526408"
"-577","1075","123","1226.2475280301283"
"-580","1047","122","1203.118032447357"
"-490","1018","96","1133.8606616335182"
"-571","896","132","1070.6451326186468"
"-640","820","140","1049.5713410721542"
"-645","794","89","1026.831047446463"
"-655","775","66","1016.8608557713292"
"-658","752","65","1001.3455946874685"
"-707","782","100","1058.9490072708884"
"-664","772","102","1023.3689461772816"
"-664","772","102","1023.3689461772816"
"-690","781","105","1047.4187319310267"
"-675","757","115","1020.7345394371644"
"-642","769","80","1004.950247524722"
"-638","770","52","1001.323124670553"
"-632","760","47","989.5620243319769"
"-648","744","49","987.8466480177983"
"-647","756","31","995.5430678780301"
"-642","756","19","991.9984879020734"
"-655","733","3","983.0172938458408"
"-680","727","10","995.5043947667936"
"-699","735","25","1014.6186475715889"
"-677","761","28","1018.9376820983705"
"-657","787","42","1026.0516556197354"
"-695","900","-9","1137.148187352906"
"-880","938","-53","1287.2657068375588"
"-990","1017","-69","1420.9679799348048"
"-1011","1073","-93","1477.1929460974284"
"-870","1036","-50","1353.771029384216"
"-450","908","88","1017.2059771747313"
"-27","792","186","813.995700234344"
"340","677","281","808.0160889487288"
"569","608","335","897.5800799928661"
"608","596","362","925.1616075043322"
"501","642","401","907.7257295020341"
"283","714","402","866.8846520731579"
"-46","875","290","922.9523281296819"
"-321","982","125","1040.668054664887"
"-471","994","57","1101.4199925550652"
"-496","986","39","1104.415229884123"
"-476","948","32","1061.274705248363"
"-499","921","49","1048.638641286883"
"-596","898","114","1083.797028968063"
"-650","883","122","1103.2103153977487"
"-657","896","63","1112.8494956641712"
"-775","913","-55","1198.840690000135"
"-734","886","-83","1153.5341347355093"
"-694","837","-17","1087.4253997401386"
"-642","802","44","1028.2528871829147"
"-602","796","52","999.3617963480493"
"-585","781","31","976.2924766687491"
"-632","747","7","978.5100919254742"
"-656","734","31","984.9126864854569"
"-663","711","20","972.3631009041839"
"-648","732","7","977.6384812393587"
"-675","694","2","968.1244754679018"
"-677","724","-12","991.2865377881412"
"-633","791","-12","1013.1702719681426"
"-595","750","-18","957.522323499562"
"-633","769","1","996.01757012615"
"-643","796","2","1023.2638955811937"
"-644","834","47","1054.751629531806"
"-616","870","61","1067.743883148014"
"-516","967","6","1096.0752711378905"
"-556","923","-29","1077.9174365414078"
"-408","1187","70","1257.1129623068882"
"-87","1552","355","1594.4585287802252"
"64","1696","495","1767.9188329784827"
"126","1694","598","1800.865347548228"
"138","1601","610","1718.8208167229068"
"72","1460","531","1555.2314940226745"
"-3","1256","431","1327.8953272001525"
"-13","1061","321","1108.5716034609582"
"-5","942","259","976.9698050605249"
"-92","791","197","820.3377353261277"
"-144","662","167","697.7599873882136"
"-144","662","167","697.7599873882136"
"-198","573","143","622.8820112990902"
"-250","505","125","577.1914760285359"
"-340","450","83","570.0780648297214"
"-437","398","33","591.9983108084009"
"-573","323","-19","658.041791985889"
"-593","311","61","672.3771263212335"
"-838","209","-56","865.4831020880766"
"-492","941","307","1105.3479090313601"
"-736","1465","248","1658.1390170911484"
"-757","1272","64","1481.5967737545868"
"-807","1149","45","1404.8042568272635"
"-779","1036","128","1302.5056621757926"
"-659","1030","1","1222.7763491333974"
"-641","972","10","1164.3732219524802"
"-692","952","97","1180.922097345968"
"-696","958","114","1189.61170135469"
"-663","984","67","1188.4081790361424"
"-654","997","27","1192.6667598285785"
"-655","1020","10","1212.2396627730013"
"-652","1027","-8","1216.5101725838547"
"-671","1043","-30","1240.560357257961"
"-687","1061","-20","1264.1558448229396"
"-714","1058","-24","1276.611138914274"
"-793","1062","-36","1325.891775372334"
"-921","1047","-39","1394.9806450270198"
"-949","1139","-57","1483.6343889247107"
"-1091","1192","15","1615.9733908700352"
"-985","1201","85","1555.587027459409"
"-567","1162","329","1334.1566624650945"
"-371","1104","336","1212.168717629687"
"-322","542","204","662.6190459079787"
"-379","213","58","438.60460553897514"
"-389","70","-19","395.7044351533099"
"-317","-5","-2","317.0457380252887"
"-261","39","30","265.59743974669635"
"-243","148","32","286.31625870704585"
"-237","310","26","391.0818328687744"
"-128","616","39","630.3657668370007"
"-30","896","140","907.3676211988171"
"-64","1196","267","1227.1108344399865"
"-107","1442","443","1512.303540959949"
"-114","1616","558","1713.422306379837"
"-98","1728","559","1818.809775649999"
"-106","1724","499","1797.8912647877235"
"526","1882","339","1983.3106161163964"
"-408","768","-229","899.293611675297"
"-506","814","13","958.541078931936"
"-430","899","-13","996.6293192556599"
"-476","922","58","1039.2420314825608"
"-598","821","111","1021.7465439139004"
"-666","753","93","1009.561290858559"
"-651","755","67","999.1571447975539"
"-631","782","13","1004.9149217719876"
"-662","778","5","1021.5444190048713"
"-709","796","7","1065.9953095581611"
"-719","806","63","1081.9269845973895"
"-729","731","63","1034.2973460277271"
"-701","735","54","1017.1243778417662"
"-674","751","38","1009.8123588073182"
"-646","770","40","1005.8906501205785"
"-631","772","52","998.4232569406624"
"-653","755","69","1000.5973216034511"
"-663","736","55","992.1139047508608"
"-694","739","40","1014.5723236911206"
"-694","723","29","1002.5996209853662"
"-744","730","29","1042.7257549327148"
"-752","738","46","1054.6392748233873"
"-725","756","54","1048.8455558374646"
"-673","788","45","1037.2550313206486"
"-676","825","13","1066.6630208271026"
"-697","893","-34","1133.3199018811943"
"-816","952","-67","1255.6468452554643"
"-855","986","-33","1305.492244327786"
"-794","1017","0","1290.2422253205016"
"-641","976","29","1168.0316776526226"
"-438","922","82","1024.0371087026094"
"-218","887","179","930.770648441387"
"4","819","246","855.1567107846374"
"178","749","294","824.0879807399208"
"344","692","340","844.2748367682174"
"431","651","381","868.7479496378683"
"423","643","392","863.7372285597049"
"246","714","359","836.1776127115578"
"-42","894","274","935.9893161783418"
"-324","971","164","1036.683654737548"
"-489","1002","78","1117.680186815531"
"-521","982","44","1112.520112177753"
"-494","943","44","1065.4675030239073"
"-490","936","53","1057.8303266592427"
"-585","916","90","1090.5874563738573"
"-676","903","105","1132.8768688608661"
"-701","888","67","1133.3287254808288"
"-670","888","14","1112.4926966052406"
"-664","859","-17","1085.848055668932"
"-636","848","14","1060.0924487986886"
"-617","832","19","1035.989382184972"
"-608","806","23","1009.8658326728358"
"-589","787","4","983.0086469609512"
"-616","746","27","967.8331467768605"
"-640","722","52","966.2235766115418"
"-637","725","45","966.1361187741611"
"-650","750","40","993.2774033471213"
"-672","739","45","999.8649908862697"
"-674","784","46","1034.914489221211"
"-655","760","54","1004.7591751260597"
"-646","800","23","1028.5159211213017"
"-703","843","17","1097.7918746283378"
"-716","830","2","1096.1569230726045"
"-729","854","15","1122.9345484043138"
"-785","918","-5","1207.87996092327"
"-865","946","-6","1281.8646574424306"
"-745","938","11","1197.9106811444667"
"-542","930","30","1076.830534485348"
"-224","1109","47","1132.3718470537847"
"64","1368","282","1398.228879690303"
"162","1477","472","1559.0243744085594"
"210","1506","565","1622.1470340262008"
"227","1488","580","1613.0942315934305"
"188","1405","517","1508.8598344445384"
"103","1244","470","1333.808457013225"
"31","1069","417","1147.8723796659626"
"29","995","329","1048.3830406869429"
"-1","848","261","887.2575725233344"
"-47","730","204","759.4241239254914"
"-102","628","158","655.5547269297964"
"-158","567","128","602.3595271928551"
"-222","544","95","595.1848452371751"
"-308","552","74","636.4306717938726"
"-392","578","46","699.9028504013968"
"-453","638","49","783.9987244887583"
"-453","638","17","782.650624480681"
"-638","554","19","845.1751297808047"
"-743","534","-75","918.0577323894179"
"-691","619","45","928.7986864762461"
"-597","1330","177","1468.5496246296889"
"-656","1071","117","1261.3746469625905"
"-782","1056","58","1315.303767196004"
"-766","1004","89","1265.9751182389014"
"-652","971","0","1169.5918091368458"
"-581","949","-74","1115.185186415243"
"-608","953","-38","1131.0689634146981"
"-649","941","28","1143.444795344314"
