"AXX","AYY","AZZ","ACC_TOTAL"
"865","-553","175","1041.4696346989672"
"817","-645","174","1055.3624969649054"
"820","-645","174","1057.686626558169"
"818","-616","202","1043.7355987030433"
"885","-576","214","1077.402895856513"
"862","-559","217","1050.054284311054"
"843","-524","228","1018.434583073454"
"822","-587","188","1027.422503160214"
"816","-645","122","1047.265486875224"
"826","-701","127","1090.7822880850238"
"850","-676","149","1096.2102900447524"
"832","-732","161","1119.807572755248"
"819","-798","171","1156.2032693259434"
"868","-931","237","1294.740900721067"
"1008","-990","296","1443.530394553575"
"1015","-1090","102","1492.892829375237"
"548","-1160","416","1348.6882515985671"
"-240","-1562","1228","2001.3565399498411"
"-625","-1686","1634","2429.6454473852764"
"-673","-1696","1731","2515.095624424646"
"-563","-1375","1514","2121.2708455074753"
"-423","-930","996","1426.8304033766592"
"-243","-470","504","730.7290879662585"
"-225","-16","191","295.57063453597686"
"-87","304","-13","316.47116772306447"
"92","349","-92","372.4634210227898"
"312","257","-111","419.1825378042363"
"620","191","-179","672.9947993855525"
"1004","62","-402","1083.2654337695817"
"946","-501","-110","1076.1119830203547"
"1142","-1270","-2","1707.9426219870502"
"1590","-1125","-229","1961.1644500143275"
"1586","-1427","54","2134.1604906848033"
"1217","-1390","129","1851.9800214905126"
"1028","-1192","256","1594.7363418446323"
"891","-1113","230","1444.1433446856997"
"1021","-793","281","1322.9705212135302"
"1031","-975","219","1435.8088312863938"
"899","-888","186","1277.2396016409764"
"862","-727","259","1157.00216075857"
"813","-769","283","1154.304552533689"
"767","-830","257","1158.981449376995"
"805","-870","247","1210.7576140582391"
"791","-1005","215","1296.8928251787038"
"797","-1107","207","1379.6764113370932"
"837","-1173","208","1455.9402460266012"
"1047","-1230","165","1623.6791554984009"
"1221","-1279","124","1772.5851178434282"
"1246","-1304","288","1826.4380635543052"
"1079","-1221","298","1656.4679290586944"
"830","-1035","237","1347.6995214067563"
"675","-599","57","904.2538360438401"
"549","-315","-69","636.7000863829061"
"457","-98","-121","482.7980944452867"
"369","61","-96","386.1321017475755"
"309","103","-58","330.83832909746116"
"277","22","23","278.82252419774125"
"258","-188","190","371.4942799021272"
"195","-488","457","696.4323369861569"
"49","-831","755","1123.8269439731368"
"-119","-1112","1038","1525.8273165728815"
"-224","-1273","1224","1780.1351072320326"
"-212","-1263","1275","1807.1353020734225"
"-109","-1190","1144","1654.3025720828703"
"-109","-1190","1144","1654.3025720828703"
"-179","-1192","1023","1580.959835036931"
"-155","-1469","1037","1804.8143948894024"
"468","-1223","630","1453.152779304365"
"782","-1298","419","1572.224220650477"
"576","-1135","266","1300.2911212493916"
"516","-922","301","1098.6086655401914"
"565","-813","401","1068.1736750173166"
"578","-745","396","1022.7047472266861"
"568","-827","183","1019.8244947048487"
"683","-834","102","1082.7968415173734"
"748","-750","176","1073.7690626945814"
"784","-674","270","1068.5653934130564"
"743","-743","279","1087.1701798706586"
"797","-540","325","1016.0875946492015"
"987","-306","226","1057.7717145017634"
"990","-427","111","1083.8588468984326"
"910","-536","157","1067.7288981759368"
"857","-581","191","1052.848992021173"
"826","-600","228","1046.068831387304"
"835","-582","259","1050.2523506281716"
"828","-560","295","1042.2135097953778"
"805","-578","313","1039.2680116312636"
"820","-593","303","1056.341800744437"
"862","-581","286","1078.1470215142274"
"922","-634","162","1130.612223532012"
"929","-790","147","1228.3118496538248"
"907","-1076","133","1413.5466034057738"
"1379","-1298","401","1935.7804627591424"
"1687","-1397","300","2210.78673779268"
"1495","-1255","93","1954.149175472538"
"972","-1032","126","1423.265259886575"
"334","-735","298","860.5724838733806"
"-115","-513","387","652.8116114163412"
"-409","-339","478","714.6229775203145"
"-620","-247","553","866.7283311395792"
"-717","-155","609","953.412292767405"
"-703","-159","628","955.967572671793"
"-642","-246","655","949.5814867614048"
"-484","-272","601","818.1937423373513"
"-306","-461","495","742.4163252515397"
"208","-643","374","772.3917399869059"
"1096","-819","62","1369.606147766576"
"1408","-1217","303","1885.5667582984167"
"1419","-1142","316","1848.670062504394"
"1004","-1287","470","1698.6126692097878"
"1038","-950","555","1512.6033848963846"
"984","-990","292","1426.0504899897478"
"848","-933","214","1278.8232872449578"
"798","-793","280","1159.33299789146"
"791","-735","321","1126.4754768746632"
"767","-735","315","1108.0338442484508"
"751","-660","383","1070.6493356837243"
"853","-492","262","1018.9784099773656"
"985","-381","137","1064.9671356431616"
"945","-474","158","1068.9550972795817"
"872","-568","206","1060.8694547398375"
"828","-594","249","1049.00953284515"
"826","-591","258","1047.912687202517"
"817","-615","229","1047.9289098025686"
"795","-603","186","1015.0024630511987"
"804","-618","154","1025.6978112485178"
"804","-618","154","1025.6978112485178"
"818","-622","119","1034.4897292868595"
"829","-653","114","1061.4358200098582"
"830","-690","125","1086.5656906050365"
"846","-689","116","1097.2205794643116"
"817","-764","163","1130.3778129457426"
"854","-937","235","1289.383573650603"
"1158","-1104","231","1616.5212649390048"
"1383","-1278","49","1883.712823123525"
"1298","-1292","60","1832.3940624221636"
"888","-995","335","1375.0614531721847"
"148","-859","981","1312.3056046515994"
"-480","-1171","1392","1881.3040689904437"
"-792","-1151","1638","2152.9303286451236"
"-986","-938","1443","1983.5042223297635"
"-978","-695","1171","1676.5291527438465"
"-872","-505","912","1359.1000698991961"
"-751","-334","667","1058.5112186462645"
