"AXX","AYY","AZZ","ACC_TOTAL"
"439","-893","255","1027.2268493375745"
"473","-893","249","1040.7588577571655"
"550","-878","271","1070.899154916092"
"548","-854","262","1047.9809158567728"
"532","-846","231","1025.719747299427"
"577","-845","211","1044.736808961951"
"629","-835","221","1068.5069021770519"
"657","-813","243","1073.1574907719742"
"666","-779","250","1054.939334748686"
"711","-704","263","1034.5559433882731"
"758","-650","231","1024.9024343809513"
"810","-607","165","1025.5603346463824"
"802","-639","158","1037.5398787516556"
"775","-663","204","1040.1009566383448"
"735","-670","230","1020.7962578301314"
"741","-684","225","1033.2289194558969"
"724","-729","226","1051.9947718501267"
"696","-744","227","1043.7820653757183"
"703","-756","226","1056.7975208146545"
"685","-820","206","1088.145670395283"
"727","-964","104","1211.874993553378"
"1180","-1160","188","1665.3360021329029"
"1329","-1416","236","1956.2701756148101"
"1236","-1363","59","1840.9090145903463"
"991","-1259","20","1602.361382460274"
"716","-1007","127","1242.1086908962516"
"364","-783","269","904.4036709346109"
"-59","-565","373","679.5844318405183"
"-386","-416","516","767.01238581916"
"-592","-272","567","863.6764440460328"
"-739","-178","563","945.924944168405"
"-829","-134","565","1012.1373424590163"
"-887","-172","530","1047.4984486862022"
"-890","-237","477","1037.2068260477272"
"-767","-267","357","887.1454221264967"
"-417","-615","310","805.1173827461434"
"246","-846","200","903.4555882831208"
"839","-1142","324","1453.6371624308454"
"1120","-1330","369","1777.4872714030894"
"1075","-1468","136","1824.5944754931163"
"729","-1512","61","1679.6743732045209"
"729","-1512","61","1679.6743732045209"
"1035","-1104","337","1550.3580231675521"
"844","-1049","195","1360.4271388060442"
"788","-911","200","1221.0098279702747"
"731","-851","180","1136.2050871211588"
"718","-780","205","1079.7911835165169"
"711","-703","247","1029.9218416947958"
"736","-659","239","1016.4142856138927"
"821","-603","138","1027.9562247488946"
"827","-618","83","1035.732590971241"
"798","-668","113","1046.80322888306"
"781","-673","179","1046.3895068281217"
"770","-657","210","1033.754806518451"
"772","-676","185","1042.681638852435"
"786","-682","170","1054.428755298337"
"801","-676","170","1061.8271987475175"
"801","-679","159","1062.037193322343"
"817","-667","167","1067.8328520887526"
"797","-694","178","1071.6944527242829"
"766","-694","133","1042.1521002233792"
"821","-675","65","1064.8431809426213"
"838","-770","56","1139.4209055480771"
"859","-867","81","1223.1643389177107"
"951","-933","192","1346.0141158249419"
"943","-977","139","1364.953845373535"
"866","-1004","198","1340.5879307229347"
"279","-1345","595","1496.9605873235273"
"-289","-1668","1083","2009.6352902952317"
"-412","-1736","1115","2103.964115663573"
"-547","-1629","1028","2002.407051525738"
"-586","-1304","825","1650.5868653300256"
"-543","-851","542","1145.7809563786614"
"-490","-409","233","679.4630232764694"
"-364","-76","9","371.95833099958924"
"-216","86","-76","244.59762877019065"
"-18","118","-80","143.69411957348845"
"241","32","-44","247.0647688360281"
"580","-82","-37","586.9352604844933"
"832","-260","13","871.7757739235474"
"1206","-708","409","1457.0452978545313"
"1623","-1199","381","2053.507000231555"
"1439","-1433","9","2030.8350499240455"
"1187","-1392","-70","1830.7192575597167"
"995","-1194","110","1558.1274017229784"
"1119","-1284","415","1753.0094124105551"
"1042","-1248","209","1639.1915690363955"
"747","-1056","80","1295.9726077352097"
"725","-848","226","1138.3343094188103"
"726","-806","345","1138.3044408241585"
"692","-754","335","1076.849571667278"
"691","-723","277","1037.7567152276106"
"691","-727","212","1025.1604752427788"
"668","-725","223","1010.7314183303099"
"638","-749","240","1012.7413292642894"
"644","-752","243","1019.4552466881515"
"672","-750","208","1028.2742824752547"
"696","-775","221","1064.838954959857"
"733","-827","266","1136.650342013761"
"796","-961","260","1274.6517171368812"
"987","-1138","295","1535.0042345218465"
"1172","-1428","140","1852.6651073521086"
"1420","-1555","103","2108.3249275194753"
"1420","-1283","75","1915.2321008170263"
"1549","-1283","75","2012.7381846628737"
"1088","-973","244","1479.8678995099528"
"628","-724","376","1029.531932481941"
"712","-160","80","734.1280542248743"
"739","295","35","796.4741050404589"
"531","355","5","638.7573874328186"
"358","179","-1","400.2574171705004"
"162","-179","37","244.24168358410896"
"-58","-547","198","584.6169686213359"
"-249","-915","492","1068.3117522521222"
"-328","-1294","704","1509.1838854162206"
"-316","-1500","839","1747.5059370428473"
"-278","-1462","912","1745.4145639360295"
"-271","-1542","1212","1979.9366151470608"
"-130","-1402","940","1692.9571760679594"
"446","-953","367","1114.367084941044"
"572","-1351","192","1479.6110975523263"
"862","-1108","-17","1403.9220063806963"
"663","-1043","158","1245.9462267690367"
"584","-881","196","1075.0037209237928"
"580","-836","275","1054.0023719138396"
"546","-761","309","986.2646703598381"
"396","-730","349","900.8423835499749"
"290","-731","376","871.6862967834243"
"416","-723","498","971.4880338943965"
"521","-913","351","1108.2468136656203"
"583","-970","207","1150.4946762154095"
"546","-954","127","1106.5084726291072"
"624","-874","192","1090.924378680759"
