"AXX","AYY","AZZ","ACC_TOTAL"
"-459","-452","394","755.129790168551"
"-381","-336","331","606.3150995975608"
"-293","-239","312","490.21831871116365"
"-157","-150","312","380.1223487247231"
"-40","-93","265","283.6793965024601"
"84","-63","214","238.371558706151"
"192","-51","203","284.0316883729701"
"351","-45","219","416.15742213734455"
"566","-132","161","603.0762804156701"
"828","-293","82","882.1320762788303"
"447","-1166","817","1492.2647218238458"
"1065","-1379","-60","1743.4064356884771"
"1553","-1208","91","1969.6075751275937"
"1622","-1031","324","1949.0564383824292"
"1701","-1535","-858","2446.5874192433835"
"929","-1501","-698","1898.2217994744449"
"949","-915","-144","1326.1078387521884"
"887","-779","171","1192.8331819663636"
"816","-695","228","1095.839860563577"
"754","-752","171","1078.5457802059216"
"707","-770","302","1088.0960435549796"
"722","-730","277","1063.443933642014"
"695","-757","155","1039.2781148470317"
"697","-765","122","1042.073893733069"
"706","-751","139","1040.075958764551"
"673","-816","193","1075.1902157292914"
"665","-843","169","1086.9383607178468"
"761","-888","142","1178.061543383876"
"930","-1263","139","1574.6078876977595"
"1295","-1356","-58","1875.9331011525971"
"1483","-1639","-293","2229.67688242041"
"1730","-1757","-530","2522.0723621656853"
"1290","-1259","-306","1828.337222724517"
"1290","-1259","-306","1828.337222724517"
"573","-877","-223","1071.0681584287715"
"599","-279","-348","746.8239417694106"
"583","19","-416","716.4537668265832"
"654","108","-286","721.9252038819534"
"645","62","-59","650.6535176267013"
"662","-67","249","710.4463385787839"
"675","-270","562","918.8955326912848"
"522","-456","859","1103.7667326025005"
"444","-668","1099","1360.5737760224545"
"419","-1088","1277","1729.1714779049532"
"398","-1336","1476","2030.240379856533"
"155","-1492","1758","2310.985287707388"
"964","-349","260","1057.6847356372314"
"471","-1038","46","1140.7896388028776"
"311","-1006","184","1068.93077418512"
"310","-989","85","1039.9259589028443"
"387","-992","119","1071.4448189244279"
"408","-957","172","1054.4652673274734"
"548","-846","145","1018.3540641643259"
"578","-790","74","981.6618562417509"
"729","-758","153","1062.7389143152707"
"709","-824","143","1096.4059467186412"
"688","-829","138","1086.1072691037475"
"676","-852","131","1095.4638287045354"
"665","-843","122","1080.6285208155484"
"643","-832","123","1058.6793660027572"
"619","-855","146","1065.5993618616708"
"641","-817","165","1051.4727766328522"
"668","-789","128","1041.6952529410894"
"696","-758","149","1039.7985381793917"
"709","-747","164","1042.8739137594725"
"715","-737","141","1036.4723826518486"
"713","-729","115","1026.1749363534466"
"722","-728","125","1032.9051263305842"
"728","-724","138","1035.955597504063"
"740","-727","136","1046.2432795483085"
"736","-738","123","1049.5089327871392"
"746","-755","94","1065.5407078098895"
"787","-786","41","1113.0345906574512"
"785","-877","-14","1177.093879008807"
"848","-982","-19","1297.6089549629348"
"968","-1088","-81","1458.5365953585122"
"982","-1054","-29","1440.8612008101265"
"958","-1101","188","1471.498895684261"
"610","-780","360","1053.612832116238"
"179","-692","541","896.4295845184942"
"112","-518","732","903.7101305175239"
"-17","-504","620","799.1902151553159"
"-62","-510","514","726.7324129278946"
"3","-495","409","642.1175904770091"
"109","-413","301","522.5428212118122"
"875","-385","385","1030.570230503482"
"963","-608","-164","1150.6211366040518"
"498","-1161","-218","1281.9707484962362"
"1266","-1600","-79","2041.812185290312"
"731","-1369","95","1554.8462946542336"
"413","-1043","118","1127.981382825089"
"513","-958","268","1119.2662775229137"
"531","-914","239","1083.733362040682"
"531","-795","341","1015.0206894443088"
"651","-795","341","1082.6389056375167"
"673","-808","232","1076.855143461738"
"701","-836","208","1110.6579131307712"
"711","-801","224","1094.2111313635958"
"696","-771","235","1064.9328617335461"
"680","-749","215","1034.2272477555405"
"699","-764","184","1051.7380852664792"
"707","-788","184","1074.5459506228665"
"733","-756","157","1064.6473594575812"
"757","-728","123","1057.4317944907841"
"772","-676","138","1035.376260110304"
"797","-624","135","1021.1806892024545"
"796","-646","103","1030.3111180609476"
"783","-705","44","1054.5378134519406"
"787","-747","46","1086.0451187680924"
"783","-764","96","1098.1807683619304"
"809","-827","90","1160.3921750856475"
"1006","-897","137","1354.7745199847834"
"1075","-1170","-98","1591.8947829552053"
"1067","-1219","-152","1627.1306032399489"
"855","-1023","-94","1336.559014783859"
"645","-907","148","1122.7546481756376"
"177","-1137","402","1218.893760751937"
"120","-1238","540","1355.9660762718217"
"-133","-1271","562","1396.0565891109143"
"-281","-1204","585","1367.7726419255505"
"-377","-1171","611","1373.568709602836"
"-419","-1046","629","1290.4720066704276"
"-468","-874","580","1148.607853011636"
"-454","-700","521","983.6447529469162"
"-427","-532","434","808.5227269532996"
"-353","-409","402","673.419631433477"
"-286","-327","361","564.8415707081057"
"-187","-276","332","470.4986716240546"
"-127","-258","314","425.78045986165216"
"-43","-250","278","376.3416001453998"
"80","-253","234","353.78665887791755"
"246","-306","195","438.37997217026236"
"471","-345","126","597.278829358617"
"689","-373","15","783.6293766826254"
"296","-844","53","895.9693075100284"
"1168","-1343","195","1790.5021641986361"
"1604","-885","-39","1832.3651382843977"
"1436","-1049","173","1786.736130490454"
"1469","-1544","-858","2297.403099153477"
"692","-1523","-897","1898.1575277094364"
"775","-863","-134","1167.6257962206898"
"845","-690","195","1108.2192923785437"
"762","-744","191","1081.9708868541704"
"700","-830","144","1095.2789599001708"
"678","-796","283","1083.23081566211"
"658","-793","266","1064.222251223869"
"652","-814","132","1051.2487812121353"
"629","-803","119","1026.9425495128733"
"655","-778","170","1031.1202645666508"
"686","-752","197","1036.7781826408193"
"715","-743","190","1048.5103719086426"
"699","-760","174","1047.127976896807"
"667","-808","149","1058.2787912454828"
"719","-922","118","1175.1463738615714"
"870","-1093","151","1405.115653602934"
"870","-1093","151","1405.115653602934"
"1240","-1339","10","1824.99890410926"
"1432","-1606","-189","2159.995601847374"
"1736","-1823","-463","2559.5691043611228"
"1658","-1404","-277","2190.1846954081293"
"833","-1048","39","1339.2960837693806"
"451","-671","-265","850.8037376504642"
"505","-227","-200","588.6883725707515"
"361","-85","-219","430.70523563105195"
"396","13","-167","429.9697663789862"
"352","17","-81","361.5992256628877"
"368","-32","5","369.4225223236937"
"441","-142","129","480.9220311027558"
"447","-348","363","672.8164682883438"
"387","-605","638","960.6445752722492"
"297","-880","918","1305.8839917848752"
"272","-1172","1199","1698.5785233541603"
"53","-1568","1620","2255.179150311567"
"313","-1803","1827","2585.8667792444376"
"1177","-1051","904","1818.5560205833638"
"1066","-1275","352","1698.7892747483427"
"706","-1122","166","1335.992514949092"
"436","-1033","223","1143.2033939767673"
"386","-987","131","1067.860477777879"
"477","-949","138","1071.062089703487"
"513","-910","164","1057.4332130210398"
"591","-832","183","1036.8191742054157"
"608","-798","107","1008.9187281441455"
"666","-777","158","1035.4945678273739"
"667","-804","123","1051.8716651759378"
"676","-829","120","1076.3907283138406"
"712","-841","164","1114.0561027165552"
"642","-878","148","1097.70305638638"
"593","-873","151","1066.104591491848"
"568","-868","126","1044.951673523709"
"600","-832","126","1033.4892355511015"
"642","-798","149","1034.9729465063326"
"654","-789","181","1040.6718983426044"
"649","-782","185","1032.932718041209"
"645","-788","141","1028.0321006661222"
"655","-787","131","1032.2572353827316"
"661","-783","153","1036.0593612337084"
"672","-784","170","1046.4893692723304"
"675","-787","174","1051.3182201407906"
"676","-774","167","1041.1248724336576"
"678","-783","114","1042.0023992294834"
"712","-811","63","1081.0337645050686"
"771","-847","83","1148.3636183718118"
"852","-945","93","1275.7656524612973"
"987","-1060","68","1449.9631029788309"
"1010","-1057","111","1466.1752964771981"
"893","-1015","87","1354.7114083818738"
"793","-887","276","1221.3901915440454"
"469","-702","470","966.2634216402896"
"68","-645","673","934.6539466561942"
"93","-551","770","951.393714505199"
"42","-523","626","816.8041380894198"
"52","-488","462","674.0118693316906"
"70","-360","271","456.00548242318314"
"87","-252","119","291.9486256175905"
"426","-735","-531","1001.8293267817628"
"426","-735","-531","1001.8293267817628"
"616","-1095","-669","1423.3910214695047"
"737","-1219","-566","1532.8033141926592"
"1080","-1613","412","1984.4175467879738"
"1241","-1405","-17","1874.6719713059135"
"553","-1226","-10","1344.9851300293249"
"589","-948","234","1140.3424924118192"
"553","-970","149","1126.459053849717"
"646","-922","243","1151.715676718868"
"636","-888","277","1126.8402726207473"
"666","-853","273","1116.1066257307139"
"661","-812","240","1074.1810834305359"
"662","-823","240","1083.1311093307218"
"639","-796","199","1039.9701918805174"
"655","-757","201","1021.0166502070375"
"680","-757","196","1036.2745775131223"
"768","-783","248","1124.4629829389671"
"723","-724","167","1036.722720885387"
"697","-714","144","1008.1373914303546"
"713","-707","125","1011.8512736563611"
"727","-717","133","1029.7120956850026"
"736","-718","138","1037.4314435180765"
"794","-731","105","1084.353263470904"
"819","-738","83","1105.5740590299683"
"840","-780","90","1149.826073804208"
"870","-897","35","1250.0935964958783"
"1106","-914","-1","1434.793713395762"
"1117","-1170","-130","1622.8028222800206"
"1025","-1232","-273","1625.7238387868956"
"567","-1153","243","1307.6494178486832"
"271","-1343","884","1630.5048297996543"
"-142","-1470","1033","1802.2632992989677"
"-322","-1387","1205","1865.3358946849223"
"-415","-1161","1116","1663.0099217984239"
"-451","-847","988","1377.299531692362"
"-429","-573","708","1006.7939213165721"
"-401","-355","494","728.6027724350217"
"-310","-117","422","536.5379762887246"
"-264","3","374","457.80017474876524"
"-186","85","340","396.76315353117155"
"-108","75","281","310.2418411497714"
"-36","66","198","211.7923511366735"
"84","55","84","130.9083648969767"
"289","31","-56","296.00337835909914"
"593","-38","-287","659.8954462640274"
"-147","-1039","312","1094.7483729149817"
"947","-1489","198","1775.706619912197"
"1494","-1077","431","1891.4877742137273"
"1655","-1122","509","2063.2474403231427"
"1261","-1172","129","1726.3678634636362"
"455","-1574","-498","1712.4558388466548"
"905","-1265","-472","1625.433480644471"
"744","-1000","-34","1246.87288846939"
"716","-820","182","1103.7119189353714"
"688","-833","203","1099.2915900706237"
"716","-804","211","1097.0838618811235"
"703","-764","237","1064.9291056215902"
"714","-755","196","1057.4672571763156"
"714","-755","175","1053.7770162610304"
"699","-764","181","1051.2173895060907"
"727","-782","165","1080.4064050161865"
"727","-782","165","1080.4064050161865"
"718","-879","168","1147.3399670542294"
"662","-1301","307","1491.6748975564346"
"978","-1426","60","1730.1907409300281"
"1287","-1686","-306","2143.035464008937"
"1664","-1851","-480","2534.8564061895104"
"1400","-1270","-235","1904.7637648800442"
"562","-946","144","1109.727894575963"
"253","-531","-268","646.3698631588574"
"460","-42","-318","560.7922966660651"
"395","168","-416","597.7499477206167"
"494","310","-370","690.6779278361224"
"491","172","-258","580.7142154278644"
"676","-56","-43","679.6771292312255"
"799","-356","258","911.9764251338956"
"777","-644","715","1236.8063712643138"
"525","-882","1204","1582.139374391523"
"463","-1103","1582","1983.3562463662447"
"15","-1571","1811","2397.4959853980986"
"1028","-1515","1309","2250.6643463653127"
"800","-996","66","1279.2075672071362"
"565","-925","189","1100.2595148418395"
"431","-943","279","1073.7089922320665"
"373","-993","64","1062.6730447320097"
"328","-1063","44","1113.3234031493275"
"462","-923","76","1034.963284372929"
"668","-804","137","1054.2338450268044"
"687","-690","166","987.7373132569205"
"665","-725","139","993.5647940622695"
"655","-811","101","1047.352376232565"
"719","-845","107","1114.6456836143045"
"683","-854","148","1103.498527411795"
"633","-879","110","1088.7745404811778"
"610","-881","114","1077.6163510266535"
"633","-843","153","1065.2450422320678"
"616","-830","111","1039.5561552893619"
"659","-806","116","1047.5557264413192"
"691","-767","141","1041.9457759403797"
"705","-744","138","1034.217095198102"
"714","-739","106","1033.030977270285"
"716","-735","104","1031.356873249992"
"730","-737","115","1043.6924834451956"
"743","-737","124","1053.8472375064614"
"766","-737","122","1069.95747579051"
"774","-774","102","1099.3434404225097"
"817","-802","27","1145.1733493231495"
"921","-837","-23","1244.7244675027482"
"928","-1054","-46","1405.0679698861547"
"1169","-1145","-11","1636.370068169178"
"1126","-787","31","1374.120082088898"
"751","-612","335","1025.0707292670102"
"384","-546","503","835.8115816378713"
"305","-480","575","808.7335778858202"
"175","-504","402","668.0157183779436"
"111","-504","397","651.1113576032905"
"79","-523","335","626.0950407086771"
"28","-568","330","657.5013307971323"
"49","-601","317","681.2422476623128"
"-297","-936","467","1087.379418602357"
"416","-1067","-279","1178.7221894916545"
"480","-1553","100","1628.560407230877"
"487","-1553","100","1630.6372987270959"
"724","-916","74","1169.9179458406475"
"130","-907","224","943.2523522366641"
"294","-967","228","1036.102794128073"
"424","-1019","229","1127.1991838180154"
"478","-983","287","1130.1070745730246"
"578","-869","271","1078.2791846270613"
"654","-842","218","1088.2113765257188"
"711","-798","236","1094.541456501306"
"714","-800","241","1099.0345763441658"
"769","-789","268","1133.8897653652227"
"712","-728","239","1045.9679727410396"
"718","-739","217","1052.9643868621579"
"733","-757","184","1069.6700425832257"
"764","-707","120","1047.8287073753993"
"821","-633","148","1047.2029411723404"
"864","-591","163","1059.4083254345323"
"803","-644","142","1039.0904676687203"
"764","-698","126","1042.4854915057572"
"767","-711","119","1052.602014058495"
"774","-696","106","1046.2925021235696"
"834","-706","86","1096.0784643445925"
"873","-758","87","1159.4231324240516"
"956","-789","68","1241.4028355050589"
"1158","-993","134","1531.3291612191024"
"1078","-1246","-185","1657.9580814966341"
"1070","-1273","-262","1683.4705224624518"
"969","-997","29","1390.615331427063"
"408","-1224","476","1375.2148922986546"
"125","-1345","865","1604.0183914157592"
"-126","-1320","798","1547.60460066517"
"-327","-1255","789","1518.04973568062"
"-387","-1094","743","1377.916543191205"
"-500","-950","666","1263.351099259426"
"-548","-721","530","1049.3069141104522"
"-563","-517","420","872.1570959408632"
"-538","-349","417","764.9405205635272"
"-472","-238","382","652.1901563194588"
"-388","-193","354","559.5614354116981"
"-277","-159","268","416.93404754229414"
"-178","-148","228","324.91845130740114"
"-57","-124","187","231.50377966676916"
"94","-52","100","146.76511847165867"
"290","50","-18","294.8287638613302"
"579","50","-235","626.870002472602"
"139","-703","603","936.5569923928815"
"1090","-1368","147","1755.3156411312468"
